"Hospital Name","Provider Number","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
STEPHENS COUNTY HOSPITAL,110032,GA,Heart Failure (HF) 30-Day Readmissions,233,,0.9888,22.2,22.4,51,7/1/2008,6/30/2011
STEPHENS COUNTY HOSPITAL,110032,GA,Pneumonia (PN) 30-Day Readmissions,371,,0.9311,16.4,17.6,57,7/1/2008,6/30/2011
GEORGIA HEALTH SCIENCES MEDICAL CENTER,110034,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,128,,1.0180,20.5,20.1,27,7/1/2008,6/30/2011
GEORGIA HEALTH SCIENCES MEDICAL CENTER,110034,GA,Heart Failure (HF) 30-Day Readmissions,200,,1.1053,27.4,24.8,61,7/1/2008,6/30/2011
GEORGIA HEALTH SCIENCES MEDICAL CENTER,110034,GA,Pneumonia (PN) 30-Day Readmissions,183,,1.0207,19.1,18.7,36,7/1/2008,6/30/2011
WELLSTAR KENNESTONE HOSPITAL,110035,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,645,,1.0963,20.5,18.7,136,7/1/2008,6/30/2011
WELLSTAR KENNESTONE HOSPITAL,110035,GA,Heart Failure (HF) 30-Day Readmissions,1422,,1.0165,25.1,24.7,358,7/1/2008,6/30/2011
WELLSTAR KENNESTONE HOSPITAL,110035,GA,Pneumonia (PN) 30-Day Readmissions,1016,,1.1113,20.4,18.4,213,7/1/2008,6/30/2011
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,110036,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,304,,0.8946,14.9,16.7,41,7/1/2008,6/30/2011
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,110036,GA,Heart Failure (HF) 30-Day Readmissions,703,,1.0085,24.0,23.8,169,7/1/2008,6/30/2011
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,110036,GA,Pneumonia (PN) 30-Day Readmissions,216,,0.9134,17.1,18.7,32,7/1/2008,6/30/2011
JOHN D ARCHBOLD MEMORIAL HOSPITAL,110038,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,162,,0.8763,15.6,17.7,20,7/1/2008,6/30/2011
JOHN D ARCHBOLD MEMORIAL HOSPITAL,110038,GA,Heart Failure (HF) 30-Day Readmissions,378,,0.9280,22.1,23.8,79,7/1/2008,6/30/2011
JOHN D ARCHBOLD MEMORIAL HOSPITAL,110038,GA,Pneumonia (PN) 30-Day Readmissions,367,,0.9310,15.4,16.6,53,7/1/2008,6/30/2011
TRINITY HOSPITAL OF AUGUSTA,110039,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,31,,0.9873,17.8,18.0,5,7/1/2008,6/30/2011
TRINITY HOSPITAL OF AUGUSTA,110039,GA,Heart Failure (HF) 30-Day Readmissions,121,,0.9441,20.1,21.3,21,7/1/2008,6/30/2011
TRINITY HOSPITAL OF AUGUSTA,110039,GA,Pneumonia (PN) 30-Day Readmissions,180,,1.0398,16.7,16.0,32,7/1/2008,6/30/2011
NORTHRIDGE MEDICAL CENTER,110040,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,25,,0.9247,21.2,22.9,2,7/1/2008,6/30/2011
NORTHRIDGE MEDICAL CENTER,110040,GA,Heart Failure (HF) 30-Day Readmissions,110,,0.9803,23.8,24.3,25,7/1/2008,6/30/2011
NORTHRIDGE MEDICAL CENTER,110040,GA,Pneumonia (PN) 30-Day Readmissions,76,,0.9627,17.1,17.8,11,7/1/2008,6/30/2011
HABERSHAM COUNTY MEDICAL CTR,110041,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,12,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
HABERSHAM COUNTY MEDICAL CTR,110041,GA,Heart Failure (HF) 30-Day Readmissions,119,,0.9340,22.7,24.4,23,7/1/2008,6/30/2011
HABERSHAM COUNTY MEDICAL CTR,110041,GA,Pneumonia (PN) 30-Day Readmissions,222,,0.8670,15.5,17.9,27,7/1/2008,6/30/2011
WELLSTAR PAULDING HOSPITAL,110042,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,11,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WELLSTAR PAULDING HOSPITAL,110042,GA,Heart Failure (HF) 30-Day Readmissions,93,,1.0745,27.5,25.5,30,7/1/2008,6/30/2011
WELLSTAR PAULDING HOSPITAL,110042,GA,Pneumonia (PN) 30-Day Readmissions,145,,0.9604,15.9,16.6,21,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL - SAVANNAH,110043,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,324,,0.9591,15.6,16.3,49,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL - SAVANNAH,110043,GA,Heart Failure (HF) 30-Day Readmissions,498,,0.9039,21.5,23.8,101,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL - SAVANNAH,110043,GA,Pneumonia (PN) 30-Day Readmissions,325,,0.9371,16.4,17.5,50,7/1/2008,6/30/2011
PHOEBE SUMTER MEDICAL CENTER,110044,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,20,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
PHOEBE SUMTER MEDICAL CENTER,110044,GA,Heart Failure (HF) 30-Day Readmissions,90,,0.8853,21.3,24.1,12,7/1/2008,6/30/2011
PHOEBE SUMTER MEDICAL CENTER,110044,GA,Pneumonia (PN) 30-Day Readmissions,134,,0.9460,14.8,15.6,17,7/1/2008,6/30/2011
BARROW REGIONAL MEDICAL CENTER,110045,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
BARROW REGIONAL MEDICAL CENTER,110045,GA,Heart Failure (HF) 30-Day Readmissions,149,,0.9805,23.6,24.1,34,7/1/2008,6/30/2011
BARROW REGIONAL MEDICAL CENTER,110045,GA,Pneumonia (PN) 30-Day Readmissions,113,,1.0057,15.7,15.6,18,7/1/2008,6/30/2011
CLEARVIEW REGIONAL MEDICAL CENTER,110046,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,29,,0.9632,19.0,19.7,4,7/1/2008,6/30/2011
CLEARVIEW REGIONAL MEDICAL CENTER,110046,GA,Heart Failure (HF) 30-Day Readmissions,190,,1.1479,27.2,23.7,60,7/1/2008,6/30/2011
CLEARVIEW REGIONAL MEDICAL CENTER,110046,GA,Pneumonia (PN) 30-Day Readmissions,127,,1.0930,17.6,16.1,27,7/1/2008,6/30/2011
MURRAY MEDICAL CENTER,110050,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,3,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MURRAY MEDICAL CENTER,110050,GA,Heart Failure (HF) 30-Day Readmissions,60,,1.0238,25.9,25.3,17,7/1/2008,6/30/2011
MURRAY MEDICAL CENTER,110050,GA,Pneumonia (PN) 30-Day Readmissions,83,,0.9953,18.4,18.5,15,7/1/2008,6/30/2011
UNION GENERAL HOSPITAL,110051,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,27,,1.0099,24.3,24.1,7,7/1/2008,6/30/2011
UNION GENERAL HOSPITAL,110051,GA,Heart Failure (HF) 30-Day Readmissions,117,,0.8959,20.8,23.3,18,7/1/2008,6/30/2011
UNION GENERAL HOSPITAL,110051,GA,Pneumonia (PN) 30-Day Readmissions,206,,0.9186,15.7,17.1,28,7/1/2008,6/30/2011
FLOYD MEDICAL CENTER,110054,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,107,,0.8941,18.3,20.4,15,7/1/2008,6/30/2011
FLOYD MEDICAL CENTER,110054,GA,Heart Failure (HF) 30-Day Readmissions,308,,0.9295,22.2,23.9,64,7/1/2008,6/30/2011
FLOYD MEDICAL CENTER,110054,GA,Pneumonia (PN) 30-Day Readmissions,491,,0.8398,15.1,18.0,65,7/1/2008,6/30/2011
HART COUNTY HOSPITAL,110059,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,12,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
HART COUNTY HOSPITAL,110059,GA,Heart Failure (HF) 30-Day Readmissions,89,,0.9593,21.8,22.8,17,7/1/2008,6/30/2011
HART COUNTY HOSPITAL,110059,GA,Pneumonia (PN) 30-Day Readmissions,120,,1.0920,17.8,16.3,26,7/1/2008,6/30/2011
"MEDICAL CENTER, THE",110064,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,44,,1.1265,22.8,20.2,15,7/1/2008,6/30/2011
"MEDICAL CENTER, THE",110064,GA,Heart Failure (HF) 30-Day Readmissions,128,,0.8975,21.4,23.8,21,7/1/2008,6/30/2011
"MEDICAL CENTER, THE",110064,GA,Pneumonia (PN) 30-Day Readmissions,164,,0.9021,18.0,20.0,24,7/1/2008,6/30/2011
HOUSTON MEDICAL CENTER,110069,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,85,,1.0751,24.5,22.8,24,7/1/2008,6/30/2011
HOUSTON MEDICAL CENTER,110069,GA,Heart Failure (HF) 30-Day Readmissions,585,,1.1040,28.7,26.0,174,7/1/2008,6/30/2011
HOUSTON MEDICAL CENTER,110069,GA,Pneumonia (PN) 30-Day Readmissions,607,,1.0191,19.8,19.4,121,7/1/2008,6/30/2011
APPLING HOSPITAL,110071,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,8,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
APPLING HOSPITAL,110071,GA,Heart Failure (HF) 30-Day Readmissions,38,,1.0460,26.9,25.7,13,7/1/2008,6/30/2011
APPLING HOSPITAL,110071,GA,Pneumonia (PN) 30-Day Readmissions,184,,1.0431,19.4,18.6,38,7/1/2008,6/30/2011
PHOEBE DORMINY MEDICAL CENTER,110073,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,15,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
PHOEBE DORMINY MEDICAL CENTER,110073,GA,Heart Failure (HF) 30-Day Readmissions,139,,0.9746,21.9,22.5,29,7/1/2008,6/30/2011
PHOEBE DORMINY MEDICAL CENTER,110073,GA,Pneumonia (PN) 30-Day Readmissions,111,,1.0721,18.3,17.1,24,7/1/2008,6/30/2011
ATHENS REGIONAL MEDICAL CENTER,110074,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,533,,0.9206,15.8,17.2,81,7/1/2008,6/30/2011
ATHENS REGIONAL MEDICAL CENTER,110074,GA,Heart Failure (HF) 30-Day Readmissions,888,,0.9431,22.9,24.3,200,7/1/2008,6/30/2011
ATHENS REGIONAL MEDICAL CENTER,110074,GA,Pneumonia (PN) 30-Day Readmissions,433,,0.9279,16.8,18.2,69,7/1/2008,6/30/2011
EAST GEORGIA REGIONAL MEDICAL CENTER,110075,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,90,,1.0387,22.6,21.8,22,7/1/2008,6/30/2011
EAST GEORGIA REGIONAL MEDICAL CENTER,110075,GA,Heart Failure (HF) 30-Day Readmissions,322,,1.1257,28.1,25.0,98,7/1/2008,6/30/2011
EAST GEORGIA REGIONAL MEDICAL CENTER,110075,GA,Pneumonia (PN) 30-Day Readmissions,219,,1.0842,20.4,18.8,49,7/1/2008,6/30/2011
DEKALB MEDICAL CENTER,110076,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,109,,1.0230,22.1,21.6,25,7/1/2008,6/30/2011
DEKALB MEDICAL CENTER,110076,GA,Heart Failure (HF) 30-Day Readmissions,560,,0.9636,22.7,23.6,125,7/1/2008,6/30/2011
DEKALB MEDICAL CENTER,110076,GA,Pneumonia (PN) 30-Day Readmissions,494,,0.9446,16.6,17.6,79,7/1/2008,6/30/2011
EMORY UNIVERSITY HOSPITAL MIDTOWN,110078,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,539,,1.0674,19.4,18.1,107,7/1/2008,6/30/2011
EMORY UNIVERSITY HOSPITAL MIDTOWN,110078,GA,Heart Failure (HF) 30-Day Readmissions,737,,0.9336,22.8,24.4,164,7/1/2008,6/30/2011
EMORY UNIVERSITY HOSPITAL MIDTOWN,110078,GA,Pneumonia (PN) 30-Day Readmissions,223,,1.0287,19.9,19.4,46,7/1/2008,6/30/2011
GRADY MEMORIAL HOSPITAL,110079,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,120,,1.0679,22.7,21.3,30,7/1/2008,6/30/2011
GRADY MEMORIAL HOSPITAL,110079,GA,Heart Failure (HF) 30-Day Readmissions,501,,0.9680,23.9,24.7,118,7/1/2008,6/30/2011
GRADY MEMORIAL HOSPITAL,110079,GA,Pneumonia (PN) 30-Day Readmissions,168,,1.0015,17.8,17.8,30,7/1/2008,6/30/2011
"SAINT JOSEPHS HOSPITAL OF ATLANTA, INC.",110082,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,811,,0.8256,14.4,17.4,109,7/1/2008,6/30/2011
"SAINT JOSEPHS HOSPITAL OF ATLANTA, INC.",110082,GA,Heart Failure (HF) 30-Day Readmissions,768,,0.9035,21.6,23.9,160,7/1/2008,6/30/2011
"SAINT JOSEPHS HOSPITAL OF ATLANTA, INC.",110082,GA,Pneumonia (PN) 30-Day Readmissions,495,,0.8256,15.0,18.1,64,7/1/2008,6/30/2011
PIEDMONT HOSPITAL,110083,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,774,,0.8767,15.8,18.0,117,7/1/2008,6/30/2011
PIEDMONT HOSPITAL,110083,GA,Heart Failure (HF) 30-Day Readmissions,1032,,0.8806,21.2,24.0,211,7/1/2008,6/30/2011
PIEDMONT HOSPITAL,110083,GA,Pneumonia (PN) 30-Day Readmissions,514,,0.9636,17.1,17.8,86,7/1/2008,6/30/2011
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,110086,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,4,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,110086,GA,Heart Failure (HF) 30-Day Readmissions,56,,0.9619,21.9,22.8,10,7/1/2008,6/30/2011
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,110086,GA,Pneumonia (PN) 30-Day Readmissions,345,,1.0019,16.5,16.5,57,7/1/2008,6/30/2011
GWINNETT MEDICAL CENTER,110087,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,182,,1.0578,23.4,22.1,45,7/1/2008,6/30/2011
GWINNETT MEDICAL CENTER,110087,GA,Heart Failure (HF) 30-Day Readmissions,943,,0.9113,22.6,24.8,208,7/1/2008,6/30/2011
GWINNETT MEDICAL CENTER,110087,GA,Pneumonia (PN) 30-Day Readmissions,810,,1.0077,19.0,18.8,154,7/1/2008,6/30/2011
COFFEE REGIONAL MEDICAL CENTER,110089,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,21,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
COFFEE REGIONAL MEDICAL CENTER,110089,GA,Heart Failure (HF) 30-Day Readmissions,277,,1.1011,28.5,25.9,85,7/1/2008,6/30/2011
COFFEE REGIONAL MEDICAL CENTER,110089,GA,Pneumonia (PN) 30-Day Readmissions,275,,1.1181,20.7,18.5,63,7/1/2008,6/30/2011
ROCKDALE MEDICAL CENTER,110091,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,47,,0.9730,19.4,19.9,8,7/1/2008,6/30/2011
ROCKDALE MEDICAL CENTER,110091,GA,Heart Failure (HF) 30-Day Readmissions,327,,1.0144,23.9,23.6,79,7/1/2008,6/30/2011
ROCKDALE MEDICAL CENTER,110091,GA,Pneumonia (PN) 30-Day Readmissions,275,,1.0673,18.7,17.6,55,7/1/2008,6/30/2011
DODGE COUNTY HOSPITAL,110092,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,11,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
DODGE COUNTY HOSPITAL,110092,GA,Heart Failure (HF) 30-Day Readmissions,120,,1.1068,26.5,24.0,38,7/1/2008,6/30/2011
DODGE COUNTY HOSPITAL,110092,GA,Pneumonia (PN) 30-Day Readmissions,179,,1.0330,19.1,18.5,36,7/1/2008,6/30/2011
TIFT REGIONAL MEDICAL CENTER,110095,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,132,,0.8617,15.8,18.3,15,7/1/2008,6/30/2011
TIFT REGIONAL MEDICAL CENTER,110095,GA,Heart Failure (HF) 30-Day Readmissions,395,,0.9911,24.4,24.7,96,7/1/2008,6/30/2011
TIFT REGIONAL MEDICAL CENTER,110095,GA,Pneumonia (PN) 30-Day Readmissions,313,,1.0215,18.2,17.8,58,7/1/2008,6/30/2011
JEFFERSON HOSPITAL,110100,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,4,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
JEFFERSON HOSPITAL,110100,GA,Heart Failure (HF) 30-Day Readmissions,71,,0.9906,23.3,23.5,16,7/1/2008,6/30/2011
JEFFERSON HOSPITAL,110100,GA,Pneumonia (PN) 30-Day Readmissions,86,,1.0276,17.0,16.5,16,7/1/2008,6/30/2011
MEMORIAL HOSPITAL OF ADEL INC,110101,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,7,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MEMORIAL HOSPITAL OF ADEL INC,110101,GA,Heart Failure (HF) 30-Day Readmissions,83,,0.9689,22.7,23.4,17,7/1/2008,6/30/2011
MEMORIAL HOSPITAL OF ADEL INC,110101,GA,Pneumonia (PN) 30-Day Readmissions,45,,0.9907,16.6,16.8,7,7/1/2008,6/30/2011
CRISP REGIONAL HOSPITAL,110104,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,29,,0.9744,24.6,25.2,6,7/1/2008,6/30/2011
CRISP REGIONAL HOSPITAL,110104,GA,Heart Failure (HF) 30-Day Readmissions,146,,0.9276,22.9,24.7,29,7/1/2008,6/30/2011
CRISP REGIONAL HOSPITAL,110104,GA,Pneumonia (PN) 30-Day Readmissions,206,,1.1942,22.5,18.8,56,7/1/2008,6/30/2011
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,34,,0.9545,20.4,21.4,5,7/1/2008,6/30/2011
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,Heart Failure (HF) 30-Day Readmissions,221,,0.9399,22.9,24.4,47,7/1/2008,6/30/2011
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,Pneumonia (PN) 30-Day Readmissions,219,,0.9629,18.3,19.0,38,7/1/2008,6/30/2011
MEDICAL CENTER OF CENTRAL GEORGIA,110107,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,708,,1.0529,18.9,18.0,136,7/1/2008,6/30/2011
MEDICAL CENTER OF CENTRAL GEORGIA,110107,GA,Heart Failure (HF) 30-Day Readmissions,1013,,0.9838,24.1,24.5,243,7/1/2008,6/30/2011
MEDICAL CENTER OF CENTRAL GEORGIA,110107,GA,Pneumonia (PN) 30-Day Readmissions,409,,1.0968,20.8,18.9,90,7/1/2008,6/30/2011
EMANUEL MEDICAL CENTER,110109,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,6,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
EMANUEL MEDICAL CENTER,110109,GA,Heart Failure (HF) 30-Day Readmissions,124,,0.9641,21.9,22.7,25,7/1/2008,6/30/2011
EMANUEL MEDICAL CENTER,110109,GA,Pneumonia (PN) 30-Day Readmissions,133,,1.1378,18.9,16.6,32,7/1/2008,6/30/2011
MCDUFFIE REGIONAL MEDICAL CENTER,110111,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,11,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MCDUFFIE REGIONAL MEDICAL CENTER,110111,GA,Heart Failure (HF) 30-Day Readmissions,39,,0.9955,23.8,23.9,9,7/1/2008,6/30/2011
MCDUFFIE REGIONAL MEDICAL CENTER,110111,GA,Pneumonia (PN) 30-Day Readmissions,115,,0.9479,16.4,17.3,16,7/1/2008,6/30/2011
BERRIEN COUNTY HOSPITAL,110112,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,2,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
BERRIEN COUNTY HOSPITAL,110112,GA,Heart Failure (HF) 30-Day Readmissions,56,,1.0093,25.8,25.5,15,7/1/2008,6/30/2011
BERRIEN COUNTY HOSPITAL,110112,GA,Pneumonia (PN) 30-Day Readmissions,41,,1.0197,19.4,19.0,9,7/1/2008,6/30/2011
BURKE MEDICAL CENTER,110113,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,16,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
BURKE MEDICAL CENTER,110113,GA,Heart Failure (HF) 30-Day Readmissions,62,,1.0206,25.4,24.9,17,7/1/2008,6/30/2011
BURKE MEDICAL CENTER,110113,GA,Pneumonia (PN) 30-Day Readmissions,108,,0.9616,15.7,16.4,15,7/1/2008,6/30/2011
ATLANTA MEDICAL CENTER,110115,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,39,,0.9638,16.5,17.2,5,7/1/2008,6/30/2011
ATLANTA MEDICAL CENTER,110115,GA,Heart Failure (HF) 30-Day Readmissions,116,,1.1136,27.1,24.3,38,7/1/2008,6/30/2011
ATLANTA MEDICAL CENTER,110115,GA,Pneumonia (PN) 30-Day Readmissions,83,,0.9063,17.2,19.0,9,7/1/2008,6/30/2011
GRADY GENERAL HOSPITAL,110121,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,10,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
GRADY GENERAL HOSPITAL,110121,GA,Heart Failure (HF) 30-Day Readmissions,84,,0.9771,20.6,21.1,16,7/1/2008,6/30/2011
GRADY GENERAL HOSPITAL,110121,GA,Pneumonia (PN) 30-Day Readmissions,68,,0.9453,14.4,15.3,7,7/1/2008,6/30/2011
SOUTH GEORGIA MEDICAL CENTER,110122,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,308,,1.0465,19.2,18.4,61,7/1/2008,6/30/2011
SOUTH GEORGIA MEDICAL CENTER,110122,GA,Heart Failure (HF) 30-Day Readmissions,430,,0.9401,23.9,25.4,99,7/1/2008,6/30/2011
SOUTH GEORGIA MEDICAL CENTER,110122,GA,Pneumonia (PN) 30-Day Readmissions,356,,0.9687,17.3,17.9,60,7/1/2008,6/30/2011
WAYNE MEMORIAL HOSPITAL,110124,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,22,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WAYNE MEMORIAL HOSPITAL,110124,GA,Heart Failure (HF) 30-Day Readmissions,207,,1.0427,25.8,24.8,56,7/1/2008,6/30/2011
WAYNE MEMORIAL HOSPITAL,110124,GA,Pneumonia (PN) 30-Day Readmissions,293,,1.0761,20.5,19.0,64,7/1/2008,6/30/2011
FAIRVIEW PARK HOSPITAL,110125,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,101,,0.9696,18.1,18.6,17,7/1/2008,6/30/2011
FAIRVIEW PARK HOSPITAL,110125,GA,Heart Failure (HF) 30-Day Readmissions,251,,0.8923,21.8,24.4,48,7/1/2008,6/30/2011
FAIRVIEW PARK HOSPITAL,110125,GA,Pneumonia (PN) 30-Day Readmissions,195,,0.8497,15.1,17.8,21,7/1/2008,6/30/2011
MEADOWS REGIONAL MEDICAL CENTER,110128,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,37,,1.1886,21.6,18.1,15,7/1/2008,6/30/2011
MEADOWS REGIONAL MEDICAL CENTER,110128,GA,Heart Failure (HF) 30-Day Readmissions,225,,0.9628,23.2,24.1,50,7/1/2008,6/30/2011
MEADOWS REGIONAL MEDICAL CENTER,110128,GA,Pneumonia (PN) 30-Day Readmissions,178,,0.9836,17.3,17.6,30,7/1/2008,6/30/2011
"ST FRANCIS HOSPITAL, INC",110129,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,390,,0.9085,15.8,17.4,58,7/1/2008,6/30/2011
"ST FRANCIS HOSPITAL, INC",110129,GA,Heart Failure (HF) 30-Day Readmissions,862,,0.9207,22.0,23.9,185,7/1/2008,6/30/2011
"ST FRANCIS HOSPITAL, INC",110129,GA,Pneumonia (PN) 30-Day Readmissions,545,,0.9190,16.2,17.7,84,7/1/2008,6/30/2011
IRWIN COUNTY HOSPITAL,110130,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
IRWIN COUNTY HOSPITAL,110130,GA,Heart Failure (HF) 30-Day Readmissions,34,,0.9878,22.7,23.0,7,7/1/2008,6/30/2011
IRWIN COUNTY HOSPITAL,110130,GA,Pneumonia (PN) 30-Day Readmissions,36,,0.9740,17.7,18.2,5,7/1/2008,6/30/2011
MEMORIAL HOSPITAL AND MANOR,110132,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,19,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MEMORIAL HOSPITAL AND MANOR,110132,GA,Heart Failure (HF) 30-Day Readmissions,80,,1.0295,20.4,19.9,18,7/1/2008,6/30/2011
MEMORIAL HOSPITAL AND MANOR,110132,GA,Pneumonia (PN) 30-Day Readmissions,149,,1.0036,15.3,15.3,23,7/1/2008,6/30/2011
TAYLOR REGIONAL HOSPITAL,110135,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,4,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
TAYLOR REGIONAL HOSPITAL,110135,GA,Heart Failure (HF) 30-Day Readmissions,101,,0.9953,24.0,24.2,24,7/1/2008,6/30/2011
TAYLOR REGIONAL HOSPITAL,110135,GA,Pneumonia (PN) 30-Day Readmissions,95,,1.0543,20.2,19.1,22,7/1/2008,6/30/2011
EVANS MEMORIAL HOSPITAL,110142,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,11,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
EVANS MEMORIAL HOSPITAL,110142,GA,Heart Failure (HF) 30-Day Readmissions,112,,1.1058,26.7,24.1,36,7/1/2008,6/30/2011
EVANS MEMORIAL HOSPITAL,110142,GA,Pneumonia (PN) 30-Day Readmissions,105,,0.9591,15.4,16.0,14,7/1/2008,6/30/2011
WELLSTAR COBB HOSPITAL,110143,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,257,,1.0681,20.7,19.4,56,7/1/2008,6/30/2011
WELLSTAR COBB HOSPITAL,110143,GA,Heart Failure (HF) 30-Day Readmissions,681,,0.9560,24.8,25.9,166,7/1/2008,6/30/2011
WELLSTAR COBB HOSPITAL,110143,GA,Pneumonia (PN) 30-Day Readmissions,532,,1.0622,20.1,18.9,110,7/1/2008,6/30/2011
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,110146,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,10,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,110146,GA,Heart Failure (HF) 30-Day Readmissions,66,,1.0320,23.0,22.3,17,7/1/2008,6/30/2011
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,110146,GA,Pneumonia (PN) 30-Day Readmissions,73,,1.0109,17.0,16.9,13,7/1/2008,6/30/2011
OCONEE REGIONAL MEDICAL CENTER,110150,GA,Acute Myocardial Infarction (AMI) 30-Day Readmissions,17,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
